date,tmean ,tmin,tmax,precipitation (mm),week
20130513,23.3,18.6,28.5,10.2,1
20130514,23.6,21.5,27.2,6,1
20130515,23.6,22,27.1,0,1
20130516,23.1,20.9,26.3,0.2,1
20130517,23.4,20.1,27.1,2,1
20130518,23.9,20.8,27.8,0,1
20130519,23.3,19.4,27.4,1,1
20130520,23.7,20.3,27.2,0,2
20130521,23.6,21,27.5,0,2
20130522,23.2,18.9,27.9,0,2
20130523,23.4,20.8,28.2,15.4,2
20130524,23.9,22.1,27.5,0,2
20130525,23.8,22.2,27.3,0.4,2
20130526,23.4,20.4,27.3,0,2
20130527,23.1,19.6,27.2,0,3
20130528,23.5,20.7,27.1,0,3
20130529,23.6,19.6,27.5,0,3
20130530,24,20.5,27.6,0,3
20130531,23.7,20.3,27.4,0.6,3
20130601,22,20,25.5,0,3
20130602,21.5,17.6,27.2,0,3
20130603,21.4,17.7,25,0,4
20130604,21.1,15.1,26.7,0,4
20130605,21.3,16,26,0,4
20130606,21.6,18.7,26.1,0,4
20130607,21.1,17.8,25.7,0,4
20130608,21.8,17.1,26.5,0,4
20130609,22.7,18.9,27.8,0.4,4
20130610,23.1,20.7,26.8,0,5
20130611,22.1,16.9,26.8,0.2,5
20130612,22.5,19.5,26.3,0,5
20130613,21.5,17.6,25.2,2.4,5
20130614,21.9,18.1,26.2,2.8,5
20130615,22.3,19.1,26.4,0.6,5
20130616,21.4,19.6,26,0.8,5
20130617,21.4,17.3,26,0,6
20130618,21.1,17,27.1,0,6
20130619,21,16.4,25.3,0,6
20130620,21.9,19.7,24.9,0,6
20130621,22,19.2,25,0.4,6
20130622,21.7,19.8,25.2,9.8,6
20130623,21.2,19,24.7,1.8,6
20130624,21.7,19.4,25.4,0,7
20130625,21.9,18.7,25.6,4.2,7
20130626,22,20,25.4,0,7
20130627,21.9,19.4,26.5,0,7
20130628,21.7,17.5,26.2,0,7
20130629,21.5,17.4,26.5,0,7
20130630,20.8,16.4,25.8,0,7
20130701,21.2,17.2,25.6,0.2,8
20130702,21.1,16.7,25.7,0,8
20130703,21.4,17.2,25.8,0,8
20130704,21.2,17.5,26.4,0,8
20130705,20.9,17,25.9,0,8
20130706,21.1,16.4,26.1,0,8
20130707,21.4,17.5,27,0,8
20130708,20.9,16.7,26,0,9
20130709,20.7,16.1,25.2,0,9
20130710,19.7,15.8,25.2,0,9
20130711,20.3,15.8,25.5,0,9
20130712,21.2,16.2,25.4,3.4,9
20130713,21,18.5,24.3,19,9
20130714,21,18.2,24.9,0.8,9
20130715,21.2,17.6,26.8,0,10
20130716,20.8,15.3,25.5,0.4,10
20130717,22.3,19.2,26.2,0,10
20130718,22,18.3,27,0,10
20130719,20.8,17.5,25.7,0,10
20130720,20.6,14.7,24.8,0,10
20130721,21.3,18.9,25,0,10
20130722,21.6,17.1,26.8,0.2,11
20130723,22.4,19.5,26.1,0.6,11
20130724,21.6,19.7,24.9,2.6,11
20130725,22.1,19.6,25.5,0.4,11
20130726,21.2,18.5,25.1,0,11
20130727,22.1,19.2,25.7,0,11
20130728,22.9,19.8,29,3.4,11
20130729,21.3,19.7,25.5,1.2,12
20130730,20.8,16,26,0,12
20130731,20.7,16.8,26.4,0,12
20130801,19.7,15.6,24.8,0,12
20130802,19.7,15.2,24.7,0,12
20130803,19.6,14.7,23.8,0,12
20130804,20.3,17.5,23.8,0.4,12
20130805,20.8,17.4,24.8,1,13
20130806,19.9,17.1,23.3,3.2,13
20130807,20.9,17.8,25.1,1.4,13
20130808,20.9,17.8,25.7,0.6,13
20130809,21.5,18.3,25,1.6,13
20130810,20.7,18.2,24,15.2,13
20130811,21.2,19.2,25,0.8,13
20130812,22,18.5,25.8,0,14
20130813,21.2,17.4,26.2,1.4,14
20130814,21.2,16.9,25.8,0,14
20130815,22.2,16.2,26.7,0,14
20130816,22.5,20.2,26.4,0,14
20130817,21.9,16.9,25.9,0,14
20130818,22.4,19.9,26.2,0,14
20130819,22.5,19.8,26.4,0,15
20130820,21.6,16.5,26.2,0,15
20130821,21.2,18.5,25.1,0,15
20130822,21.7,19.3,25.4,0,15
20130823,21.7,17.1,25.9,0,15
20130824,22.4,18.2,27.2,0,15
20130825,21.3,17.7,25.7,10.1,15
20130826,21.2,17.6,26,0,16
20130827,21.4,17,26.6,0.2,16
20130828,22.2,19.6,26,1.4,16
20130829,22.4,19.3,26.5,0.6,16
20130830,22.8,20.6,26.8,23.6,16
20130831,21.6,19.5,25.8,0.2,16
20130901,21.7,18.2,25.9,0,16
20130902,21.9,16.7,26.1,0,17
20130903,21.7,20.7,24.4,0.6,17
20130904,22,19.3,25.6,0,17
20130905,20.5,16.8,25.5,0.2,17
20130906,20.8,14.7,26.1,0,17
20130907,21,17,25.1,0,17
20130908,21.3,17.2,25.6,0,17
20130909,22.3,19,26.1,0,18
20130910,21.6,18.3,25.9,0,18
20130911,22.5,18.1,27.5,0,18
20130912,23,20.2,27.3,14,18
20130913,23.1,20.2,27.3,0,18
20130914,23.1,20.3,27,0,18
20130915,23,20.4,27.7,0,18
20130916,23.1,21,26.7,0,19
20130917,23.2,20.9,26.9,0,19
20130918,23.5,20.5,27.3,7.6,19
20130919,22.9,19.7,27.1,0.2,19
20130920,23.2,20.4,27.5,0,19
20130921,23.6,21.2,27.6,1,19
20130922,23.3,19.8,27.9,0.6,19
20130923,22.9,20.3,26.7,0,20
20130924,22.3,18.4,25.9,0,20
20130925,22.4,18.7,26.6,0,20
20130926,21.9,17.1,26.4,0,20
20130927,21.7,17,26.4,0.2,20
20130928,22.4,15.9,27.2,0,20
20130929,23.3,19.6,27.4,0,20
20130930,22.8,18.5,26.9,0,21
20131001,22.2,19,26.1,0,21
20131002,21.9,20.5,24.8,0,21
20131003,22.2,20.1,25.7,0.2,21
20131004,22.5,19,26.6,0,21
20131005,23.3,21.2,27.3,0,21
20131006,23.6,20.1,27.7,0,21
20131007,23.5,20.7,27.9,0,22
20131008,23.2,20.4,26.9,0,22
20131009,23.3,18.2,26.9,0,22
20131010,23.9,19.5,27.4,0,22
20131011,25.1,22.9,28.1,0,22
20131012,24.8,22.7,27.6,0,22
20131013,24.7,22.2,27.9,0,22
20131014,24.3,21.6,27.6,0,23
20131015,24.4,20.8,27.4,0,23
20131016,24.1,19,27.4,0,23
20131017,22.9,20.4,27.3,0,23
20131018,23.1,18.3,26.9,0,23
20131019,23.1,20.5,26.6,0,23
20131020,23.1,18.8,26.9,0,23
20131021,23.6,19.4,27.6,0,24
20131022,23.9,20.6,27.9,0,24
20131023,24.5,20.5,27.8,0,24
20131024,23.9,21.2,28.1,0,24
20131025,22.6,19.2,26.6,0,24
20131026,23.6,19.6,27.5,1.4,24
20131027,24,22.3,28,0.2,24
20131028,23.9,20.2,28.5,0,25
20131029,23.2,22.3,25.4,1.8,25
20131030,23,21.8,24.3,18.7,25
20131031,24.7,22.8,28.2,2,25
20131101,25,22.2,27.8,0,25
20131102,24.6,22.6,28,0,25
20131103,24.3,21,28,0,25
20131104,24,20.2,28.2,0,26
20131105,24.1,20.6,28.5,0.2,26
20131106,24.2,20.3,28.5,0,26
20131107,24.9,21.6,28.8,0,26
20131108,25.2,21.7,28.4,0,26
20131109,25.5,22.7,29.1,0,26
20131110,25.1,21.7,29,0,26
20131111,24.7,19.7,28.4,0,27
20131112,25.2,20.4,29.3,0,27
20131113,25.5,20.2,30.5,4.8,27
20131114,24.4,22.3,28.2,16.8,27
20131115,26,22.7,30,0,27
20131116,25.6,23.3,28.7,0,27
20131117,24.6,20,28.5,0,27
20131118,24.7,20.5,28.2,0,28
20131119,25.2,19.8,29.4,0,28
20131120,25.5,21.4,29.3,0,28
20131121,25.3,22,28.9,0,28
20131122,24.8,21.2,28.3,0,28
20131123,25.1,20.1,29.7,0.4,28
20131124,25.9,22.5,29.5,5.2,28
20131125,23.7,22.7,27.4,42.3,29
20131126,25.7,22.6,28.7,0,29
20131127,26.5,23.2,29.6,0,29
20131128,25.1,23,29.4,12.1,29
20131129,25,22.2,28.6,15.3,29
20131130,26.5,24.1,29.6,44.4,29
20131201,25.6,23.3,28.8,5.7,29
20131202,26.3,23.4,29.3,2.4,30
20131203,24.7,23.3,28.2,15.3,30
20131204,24.2,21.7,28,1,30
20131205,24.4,19.8,28.2,0,30
20131206,25.2,18.2,28.8,0,30
20131207,27.3,23.8,30,14.8,30
20131208,27.2,24,30.1,8.3,30
20131209,26.3,24.2,29.1,0,31
20131210,26.2,24.2,29.8,11.3,31
20131211,25.7,23.2,27.5,0,31
20131212,26.1,22.6,29.3,0,31
20131213,26.2,22.1,29.4,0,31
20131214,26.7,23.2,29.8,0,31
20131215,26.8,23.5,30,0,31
20131216,26.4,23.2,29.7,0.2,32
20131217,26.8,22.9,30.8,0.2,32
20131218,26.7,22.6,30.7,1.8,32
20131219,25.2,22.5,30,33.4,32
20131220,26.1,21.7,30,1,32
20131221,26.4,24.6,30.1,0,32
20131222,25.5,20.5,30.1,0,32
20131223,25.5,21.4,29.8,0,33
20131224,25.6,20.3,29.2,0,33
20131225,26.1,22.5,29.4,0,33
20131226,25.9,23.8,29.3,0,33
20131227,26.2,21.8,30.4,0,33
20131228,26.3,21.6,29.8,0,33
20131229,27.2,23.4,30.7,0,33
20131230,27.5,24.2,30.6,0,34
20131231,28.3,26.2,31,0.2,34
20140101,26.5,24.9,29.5,140.1,34
20140102,24.9,21.3,26.5,118.2,34
20140103,24.9,23.6,27.6,13.5,34
20140104,26.3,24.1,29,0.6,34
20140105,26.6,22.5,29.9,7.4,34
20140106,25.7,24,29.3,14.1,35
20140107,26.6,23.8,29.7,19.4,35
20140108,26,23.5,29.1,45.2,35
20140109,26.3,23.8,29.2,0.4,35
20140110,27.2,23.8,30.1,0.2,35
20140111,27.9,25,31.3,0,35
20140112,27.4,25,30,0.4,35
20140113,26.9,24.5,30.2,0,36
20140114,26.2,23.2,29.3,0,36
20140115,26.5,24.2,29.2,0,36
20140116,26.2,23.8,29.7,10.5,36
20140117,27.5,24.2,30.4,14.3,36
20140118,27.3,24,30.4,0,36
20140119,27.7,24.1,30.9,4.6,36
20140120,27.5,25.1,30.6,0,37
20140121,26.8,23.1,30.1,0,37
20140122,26.5,21.3,30.6,0.6,37
20140123,27.2,23.4,30.6,11.1,37
20140124,26.7,24.4,29.7,4,37
20140125,26.8,22.3,30.5,2,37
20140126,27.9,25,30.8,22.5,37
20140127,26.8,23.3,29.7,15,38
20140128,26.8,23,30.2,8.6,38
20140129,27.4,25.3,30.9,11.3,38
20140130,26.7,23.5,29.7,3.4,38
20140131,26.9,23.5,30.3,14.1,38
20140201,26.5,23.8,30.4,7.9,38
20140202,27.7,25.5,30.7,0,38
20140203,27.4,24.8,30.6,0,39
20140204,27.5,24.4,30.8,0,39
20140205,27.4,23.8,31.2,3.2,39
20140206,27.2,24.2,30.4,2.8,39
20140207,27.4,23.8,30.6,0,39
20140208,27.5,24.4,30.9,58.6,39
20140209,26.5,24,30.4,2,39
20140210,26.7,24.3,30.1,2,40
20140211,27.2,23.6,31.5,0.2,40
20140212,27.5,23.9,31,0,40
20140213,27.4,23.8,30.9,0,40
20140214,25.9,23.9,29.5,4,40
20140215,25.7,22.9,29.2,0,40
20140216,26.3,22.2,30,0,40
20140217,27.4,25.1,30.5,1.2,41
20140218,28,25,31.3,0,41
20140219,28.3,26.3,32,3.8,41
20140220,28.2,25.4,31.2,0.6,41
20140221,28.2,25.9,31.4,0.2,41
20140222,27.7,25.4,31.2,0.8,41
20140223,27.4,25.3,30.9,2,41
20140224,26.6,23.6,30.4,1.4,42
20140225,25.8,24.5,28.9,11.1,42
20140226,26.1,23.1,30,5.6,42
20140227,26.2,23.1,29.8,0,42
20140228,27.3,24.3,30.9,7.2,42
20140301,27.9,23.5,32.5,4.9,42
20140302,27.4,25,31.3,11.5,42
20140303,26.9,24.4,30.3,1.6,43
20140304,26.9,24.2,30.4,1,43
20140305,27,24,30,0,43
20140306,27.5,24.1,31.3,0.4,43
20140307,26.9,22.7,30.3,0,43
20140308,27.5,24,30.9,0,43
20140309,27.4,24,30.9,0,43
20140310,27.7,25.2,30.8,0,44
20140311,28.1,25.2,31.2,1.4,44
20140312,28.1,25,31.6,0.8,44
20140313,27.6,24.6,30.9,2,44
20140314,27.1,24,30.8,2.2,44
20140315,27.2,24.2,30.8,0.2,44
20140316,26.4,22.9,31,13.8,44
20140317,27,23.8,30.3,0,45
20140318,26.5,22.4,30.7,0.6,45
20140319,25.9,22.9,30.5,14.7,45
20140320,26.5,22.5,30.6,0,45
20140321,26.6,22.1,31.5,2.8,45
20140322,27.3,24.5,31.3,3.4,45
20140323,25.9,24.4,27.7,29,45
20140324,26.8,25.4,29.7,0.2,46
20140325,25.8,22.1,30.3,0.8,46
20140326,25.6,20.9,30.2,0,46
20140327,25.9,21.6,30.8,0.4,46
20140328,25.9,21.5,30.2,0,46
20140329,25,20.6,29.4,0,46
20140330,26,22.7,29.6,0,46
20140331,26.3,23.1,29.7,6.2,47
20140401,25.7,22.7,29.9,0.8,47
20140402,26.2,21.6,30.6,2.4,47
20140403,26.1,23,30.1,1,47
20140404,26.1,23.9,29.9,6,47
20140405,25.3,21.9,29.2,0,47
20140406,24.6,19.4,28.9,0,47
20140407,24.7,21,29.5,10.3,48
20140408,25.9,20.8,30.1,0,48
20140409,25.3,21.4,29.6,0,48
20140410,23.3,19.4,27.8,0,48
20140411,24,18.8,28.5,1.6,48
20140412,24.3,21.3,28.1,1,48
20140413,24.1,21.8,28.3,11.5,48
20140414,24.4,22.3,27.5,16.9,49
20140415,25.7,23.2,29.5,20,49
20140416,26.3,23,29.5,0,49
20140417,26.6,22.5,29.8,0.4,49
20140418,27.3,25.2,30.3,0,49
20140419,26.8,24.7,29.7,0,49
20140420,26,23.3,29.9,0.2,49
20140421,26,23.6,28.9,0,50
20140422,26.6,23.6,30.1,0,50
20140423,25.8,24.1,29.2,1.2,50
20140424,25.7,21.6,28.9,0.6,50
20140425,26.1,23.4,29.4,2.8,50
20140426,26,22.9,29.5,0,50
20140427,25.7,23,29.1,0,50
20140428,25.7,22.7,29,0,51
20140429,26.6,23.3,30.1,0,51
20140430,26.1,23.5,30.3,0,51
20140501,25.8,21.2,30.1,0.2,51
20140502,26.6,23.7,29.7,0.2,51
20140503,26.4,23.9,29.3,0,51
20140504,25.8,23.9,29,1.8,51
20140505,25.5,22.4,28.9,0.4,52
20140506,25.3,23,28.9,5.8,52
20140507,24.2,22.4,27.4,21.2,52
20140508,24.2,22.8,27.8,8.5,52
20140509,25.3,22.4,28.6,0,52
20140510,24.5,21.2,28.6,0,52
20140511,24.2,19.8,28.3,0,52
